1         | 1     | 640
0.5       | 1/2   | 320
0.250     | 1/4   | 160
0.200     | 1/5   | 128
0.125     | 1/8   | 80
0.1       | 1/10  | 64
0.0625    | 1/16  | 40
0.05      | 1/20  | 32
0.03125   | 1/32  | 20
0.025     | 1/40  | 16
0.015625  | 1/64  | 10
0.0125    | 1/80  | 8
0.0078125 | 1/128 | 5
0.00625   | 1/160 | 4
0.003125  | 1/320 | 2
0.0015625 | 1/640 | 1
